关注人数,区域,单价,小区,已发布日,建成年份,建筑结构,总价,户型_厅,户型_室,朝向,标题,楼层,满二,满五,装修,近地铁,面积
14,五棵松,70602,永定路85号院 ,360,1998,板楼,305,1,1,东 西,永定路85号院 1室1厅 305万,顶层(共7层),True,False,简装,True,43.2
31,清河,71190,小营东路6号院 ,360,1984,板楼,383,1,2,南 北,小营东路6号院，满五年，中间层，看房有钥匙,中楼层(共5层),False,True,简装,True,53.8
2,魏公村,102271,韦伯豪家园 ,360,2001,塔楼,635,1,1,西,无遮挡 视野好 满五唯一商品房 看房随时,中楼层(共22层),True,False,简装,False,62.09
10,玉泉路,73564,玉海园五里 ,360,1999,板楼,640,1,2,东 南 北,满五年唯一的单位分房 有钥匙  小区中间不临街,底层(共6层),False,True,毛坯,False,87
11,军博,86937,北蜂窝中路2号院 ,360,1987,板楼,386,1,1,南,北蜂窝中路2号院 1室1厅 386万,中楼层(共7层),False,True,简装,False,44.4
7,牡丹园,88199,牡丹园北里 ,360,1997,塔楼,710,1,2,东南,10号线牡丹园北里，东南朝向，正规2居室,低楼层(共18层),False,True,简装,True,80.5
5,甘家口,111905,中纺宿舍 ,360,1987,板楼,470,1,1,南,建设部 总价低 朝南 中间楼层没遮挡 毛坯房,中楼层(共6层),False,True,毛坯,True,42
25,玉泉路,65990,玉海园二里 ,9,2000,板楼,520,1,2,东南,玉海园二里正规两居诚意出售满五年,中楼层(共5层),False,True,简装,True,78.8
25,双榆树,90435,中关村东路 ,9,1985,板楼,520,1,2,南 北,满五年唯一房板楼中间层简单装修南北通透诚意出售,中楼层(共6层),False,True,精装,False,57.5
6,公主坟,106828,翠微北里 ,9,1989,塔楼,532,1,2,东,华润家属楼 2居室总价低  带电梯 满五唯一 朝东,低楼层(共24层),False,True,简装,True,49.8
34,定慧寺,89409,阜成路95号院 ,360,1998,板楼,650,2,2,南 北,南北通透全明格局两居室，中间楼层，精装修。,中楼层(共6层),True,False,精装,True,72.7
123,牡丹园,97880,西单宿舍 ,360,1986,板楼,600,1,3,南 北,牡丹园南北通透三居室   近地铁  小区中间位置,底层(共6层),False,True,毛坯,True,61.3
35,知春路,100099,知春路2号院 ,360,1991,塔楼,710,1,3,南 西 北,北航南门三居室 此房满五年唯一，楼层好、阳光充足。,低楼层(共16层),False,True,精装,False,70.93
8,苏州桥,109519,小南庄怡秀园 ,360,1996,塔楼,1100,1,3,西北,怡秀园 精装修三居  全明格局 不临街 视野开阔,顶层(共18层),False,True,精装,False,100.44
54,田村,71904,兰德华庭 ,360,2006,板楼,660,1,2,东南,海淀西四环 兰德华庭 地铁六号线 不临街 采光好,中楼层(共13层),True,False,精装,False,91.79
45,定慧寺,82148,八里庄北里 ,360,1998,板楼,635,1,2,东南 西北,大客厅加餐厅卫生间干湿分开带窗户此楼有门禁位置好,底层(共6层),False,True,精装,False,77.3
18,马连洼,73395,圆明园西路2号院 ,360,1995,板楼,560,1,3,南 北,满五年唯一三居室 南北通透  交通方便,高楼层(共6层),False,True,精装,True,76.3
25,四季青,83534,曙光花园 ,360,1999,塔楼,1080,1,3,南 北,曙光花园望山园高层精装南北通透三居室,顶层(共17层),True,False,精装,False,129.29
33,清河,75029,莱圳家园 ,360,2006,板楼,850,2,3,南 北,莱圳家园电梯板楼南北向正规三居精装修诚心出售,中楼层(共15层),False,True,精装,True,113.29
14,五棵松,84170,泽丰苑一期 ,360,2003,板楼,1090,2,3,南 北,泽丰苑一期 3室2厅 1090万,中楼层(共6层),False,True,简装,False,129.5
63,清河,55172,清缘里中区 ,360,1998,板楼,615,1,3,南 北,南北通透，双卫生间户型，中间层，精装修，诚心交易。,中楼层(共10层),False,True,精装,False,111.47
34,清河,69881,水木天成 ,360,2005,板楼,458,1,2,东北,水木天成 精装修两居室，视野好,高楼层(共26层),False,True,精装,False,65.54
23,马连洼,69618,七彩华园 ,9,2004,板楼,980,2,3,东 南 北,精装修，次顶层，诚意卖，看房方便,高楼层(共6层),False,True,精装,False,140.77
23,安宁庄,63577,毛纺住宅北小区 ,9,1997,板楼,480,1,2,东 西,海淀产权，正规两居，带电梯东西向，满五年唯一,中楼层(共14层),False,True,简装,False,75.5
11,紫竹桥,89252,气象西苑 ,8,2000,塔楼,1038,2,3,东北,气象西苑 3室2厅 1038万,高楼层(共20层),False,True,精装,False,116.3
19,苏州桥,117319,稻香园 ,8,1992,板楼,630,1,2,南,稻香园 中间层 双南两居室 单位分房,低楼层(共6层),False,True,简装,False,53.7
18,公主坟,80622,翠微中里 ,7,1995,塔楼,446,1,1,西南,公主坟 万寿路 诚心售一居室 带电梯 95年钢混结构,低楼层(共16层),True,False,精装,True,55.32
7,苏州桥,103961,海淀南路 ,7,1989,板塔结合,630,1,2,南 北,南北通透 有电梯 近地铁 税费少 无遮挡,低楼层(共12层),False,True,简装,False,60.6
18,清河,63199,清景园 ,7,2006,板楼,628,1,2,南 北,南北通透 电梯板楼 精装两居 随时签约,低楼层(共22层),False,True,精装,False,99.37
13,小西天,90698,志强北园 ,6,1981,板楼,468,1,2,西南,志强北园2层西南无遮挡两居随时可看低税费,低楼层(共6层),False,True,简装,False,51.6
4,厂洼,102753,西三环北路23号院 ,6,1988,板楼,560,1,2,南,五矿集团家属楼、低楼层两居、满五年唯一,低楼层(共6层),False,True,简装,False,54.5
18,定慧寺,80358,定慧西里 ,6,1998,板塔结合,450,1,2,东北,满五唯一，中央电视台家属楼，满五唯一，明厨明卫,中楼层(共16层),False,True,精装,False,56
5,小西天,93914,今典花园 ,6,1999,塔楼,520,1,1,东 南,2000年小区 东南一居 无遮挡 精装 格局方正 采光好,底层(共26层),False,True,精装,False,55.37
22,清河,70224,宝盛里 ,6,2000,板楼,487,1,2,南 北,宝盛里 2室1厅 487万,低楼层(共6层),False,True,精装,False,69.35
39,新街口,82617,红联村 ,5,1986,板楼,480,1,2,南 北,红联村 2室1厅 480万,中楼层(共6层),False,True,简装,False,58.1
8,五棵松,83886,永定路甲19号院 ,5,2002,板塔结合,620,1,2,南 北,永定路甲19号院 2002年 带电梯 南北向两居室,顶层(共10层),False,True,简装,False,73.91
9,四季青,82235,金雅园 ,4,2002,板楼,730,2,2,南 北,新出 高楼层 南北通透2居室 小区安静位置 带电梯！,顶层(共10层),False,True,精装,False,88.77
9,西直门,100336,西直门北大街43号院 ,4,1992,板楼,598,1,2,南 北,西直门北大街43号院 2室1厅 598万,中楼层(共6层),False,True,精装,True,59.6
12,五棵松,82279,六建 ,4,1992,板楼,520,1,2,南 北,满五年唯一 交通便利 南北通透 无占用,顶层(共6层),False,True,精装,False,63.2
15,六里桥,82127,铁路小区 ,4,1997,塔楼,380,1,1,东,铁路小区 1室1厅 380万,中楼层(共24层),False,True,简装,False,46.27
5,甘家口,83770,阜南小区 ,4,1978,板楼,480,1,2,南 北,甘家口商圈 安静不临街 配套完善 南北通透两居室,顶层(共6层),False,True,简装,False,57.3
14,西二旗,69674,铭科苑 ,4,1998,板楼,448,1,2,南 北,铭科苑低楼层南北通透两居满五年唯一自住业主靠谱出售,底层(共6层),False,True,精装,False,64.3
10,西三旗,75076,育新花园 ,3,1999,塔楼,575,1,2,东南,育新花园，东南向2居，满五年，诚心出售，方便看房,低楼层(共20层),False,True,其他,True,76.59
8,五棵松,75046,金沟河2号院 ,3,1983,板楼,415,1,2,东,西四环两居室，精装修，中间楼层，满五唯一，可对外,低楼层(共6层),False,True,精装,False,55.3
6,紫竹桥,90193,北京市人民检察院宿舍 ,3,1985,板楼,515,1,2,南 北,紫竹院中间楼层 南北通透 房本满五年 业主诚心卖,中楼层(共5层),False,True,精装,False,57.1
7,五棵松,80537,金沟河5号院 ,2,1992,板楼,480,1,2,南 北,金沟河5号院 2室1厅 480万,底层(共5层),False,True,简装,False,59.6
92,四季青,102541,美丽园 ,360,2000,板楼,1219,2,2,南 北,南北通透，次顶层，两居室两卫，四环内不临街,高楼层(共6层),False,True,简装,False,118.88
127,中关村,139466,黄庄小区 ,360,1985,板楼,699,1,2,东北,中关村黄庄小区 两居室 总价低,顶层(共6层),False,True,简装,False,50.12
258,清河,68893,毛纺厂南小区 ,360,1997,板楼,485,1,2,南 北,清河毛纺厂南小区  中间楼层  全明格局 满五年 有钥匙,中楼层(共6层),False,True,简装,False,70.4
254,军博,76704,信悦华庭 ,360,2010,板楼,860,1,2,南 北,西二环2010年小区 南北通透大两居,低楼层(共16层),True,False,简装,False,112.12
148,牡丹园,93496,牡丹园东里 ,360,1996,板塔结合,690,1,2,南 北,满五年央产房 南北通透 前后无遮挡 采光好安静不临街,高楼层(共12层),False,True,简装,True,73.8
234,五道口,91995,中国矿业大学校内 ,360,2000,板楼,755,1,3,南 北,矿大内 共享校园环境 税费可控 精装 诚意出售,中楼层(共6层),True,False,精装,False,82.07
510,万柳,103153,万泉新新家园 ,360,2000,板楼,975,2,2,南,万柳万泉新新家园，满五年唯一，采光好，紧邻地铁,高楼层(共6层),False,True,简装,False,94.52
178,甘家口,119882,国兴家园 ,360,2000,板楼,1780,2,3,南 北,南北通透三居室，次顶层，采光无遮挡,中楼层(共10层),False,True,简装,False,148.48
14,魏公村,105063,航天五院小区 ,5,1994,板楼,1100,1,3,南 北,航天部 朝南三居 有电梯 可直达 公园旁 交通便利,中楼层(共6层),False,True,精装,False,104.7
58,知春路,91693,太月园 ,240,1999,塔楼,830,2,2,南,知春路 全南两居 精装修 满五唯一 带车位,中楼层(共27层),False,True,精装,False,90.52
136,苏州桥,83034,远中悦莱 ,360,2005,塔楼,1130,2,3,东南,远中悦莱 东南向三居室 中间楼层 交通便利 看房方便,中楼层(共18层),True,False,精装,True,136.09
19,公主坟,105565,普惠南里 ,360,1985,塔楼,645,1,2,西南,普惠南里 精装婚房 西南朝向 户型好 有客厅,低楼层(共16层),False,True,精装,True,61.1
51,学院路,73812,清枫华景园 ,360,2005,塔楼,396,1,1,东,学院路清枫华景园 东向1居 楼层高 直观奥森公园,高楼层(共15层),False,True,简装,False,53.65
52,西三旗,57561,轮胎厂宿舍 ,360,1998,板楼,335,1,2,南 北,轮胎厂宿舍 南北通透两居室 看房有钥匙 业主靠谱卖,低楼层(共6层),False,True,简装,False,58.2
12,北太平庄,99882,西土城路2号院 ,360,2001,塔楼,590,1,2,南,牡丹园10号线地铁 2000年楼龄满五唯一 双南向采光好,低楼层(共18层),False,True,简装,False,59.07
7,北太平庄,85463,庚坊国际 ,360,2005,塔楼,408,0,1,东,庚坊在售东向一居，满五年高楼层，户型方正，诚心出售,高楼层(共16层),False,True,简装,False,47.74
43,学院路,68966,学知园 ,360,1998,塔楼,740,1,2,东南,学院路学知园小区  满五年唯一精装修两居室 业主诚售,低楼层(共18层),False,True,简装,False,107.3
62,清河,68864,金隅美和园 ,360,2009,板楼,560,1,2,南,2008年小区 小区中间位置南向两居室带电梯,低楼层(共9层),False,True,简装,True,81.32
111,牡丹园,86311,龙翔路小区 ,360,1997,板楼,529,1,2,南 北,海淀区 牡丹园 满五年唯一 南北通透,中楼层(共7层),False,True,简装,True,61.29
30,皂君庙,87996,皂君庙丙4号院 ,360,2000,板楼,508,1,2,南 北,皂君庙 大钟寺 满五唯一 黄金2层 南北通透 采光充足,低楼层(共6层),False,True,简装,False,57.73
36,新街口,82671,索家坟 ,360,1992,板楼,520,1,3,东 西,索家坟，首钢大院 ，东西通透三居室,中楼层(共6层),False,True,简装,False,62.9
45,二里庄,86921,科技大学 ,360,1988,板楼,525,1,2,南 北,科技大学 南北两居室 满五年业主名下唯一住房,底层(共4层),True,False,简装,False,60.4
24,甘家口,109411,甘家口小区 ,360,1996,板塔结合,1065,2,3,南 北,百万庄 增光路  甘家口 五矿集团家属楼 封闭管理,低楼层(共11层),False,True,简装,True,97.34
80,甘家口,92958,甘家口小区 ,360,1982,板楼,660,1,3,南 北,甘家口 南北向 一层三居室，满五年，户型好,底层(共6层),False,True,简装,True,71
6,世纪城,99416,垂虹园 ,360,2004,塔楼,1600,1,3,西南,垂虹园精装修三居室，视野开阔，不临街，观西山。,中楼层(共18层),False,True,简装,True,160.94
7,四季青,95035,郦城二区 ,360,2004,板楼,1380,2,3,南 北,满五唯一 不临街 落地窗 大阳台 诚意出售,低楼层(共13层),False,True,精装,False,145.21
24,田村,68399,田村29号院 ,360,1982,板楼,345,1,2,南,满五唯一正规两居+近地铁+不临街,顶层(共5层),False,True,精装,True,50.44
30,玉泉路,83334,玉海园一里 ,360,1997,板楼,505,1,2,南 北,玉海园正规两居室，中间层，业主诚心出售,中楼层(共6层),False,True,简装,True,60.6
144,玉泉路,69957,玉海园一里 ,30,1997,板楼,638,1,3,南 北,玉海园一里 南北向 小复式 明厨明卫,顶层(共6层),False,True,简装,True,91.2
17,四季青,139003,京投银泰琨御府 ,360,2017,板楼,2550,2,4,南 北,2018年精装新房，一梯一户，临河临地铁,低楼层(共18层),False,False,精装,True,183.45
145,西三旗,48326,建材城东一里 ,360,1996,板楼,365,2,2,东南,建材城东一里 海淀产权 东南向两居室,中楼层(共7层),True,False,精装,False,75.53
10,上地,143940,上地东里 ,360,1993,板楼,665,1,1,南,低楼层无遮挡，满五年总价低，产权清晰无抵押,底层(共6层),False,True,其他,True,46.2
28,紫竹桥,84575,北洼路29号院 ,360,2003,塔楼,795,1,2,西北,昆玉河慈寿寺2000后带电梯精装婚房视野好,高楼层(共17层),False,True,精装,True,94
19,苏州桥,91961,稻香园西里 ,360,1987,塔楼,835,1,3,南,稻香园西里 三居有电梯 中间层 采光视野好 不临街,中楼层(共18层),False,True,其他,True,90.8
31,紫竹桥,92986,三虎桥南路12号院 ,360,1985,板楼,570,1,3,南 北 东,满五年唯一税少，南北通透正规三居室，看房方便。,中楼层(共5层),False,True,简装,True,61.3
29,五棵松,79738,金沟河3号院 ,360,1987,板楼,425,1,2,南,金沟河3号院 2室1厅 425万,低楼层(共6层),False,True,精装,False,53.3
15,五道口,139148,科源小区 ,360,1986,板楼,718,1,2,东 南 北,科源小区 在1层无遮挡 南北通透 采光好 满五年,底层(共4层),False,True,简装,False,51.6
35,西直门,97965,交大东路31号院 ,360,1998,塔楼,722,1,2,西南,西直门 交大东路 西南向央产  全明精装 带电梯近地铁,中楼层(共16层),False,True,精装,True,73.7
17,马甸,83512,月季园 ,360,1997,塔楼,390,1,1,南 北,月季园南向一居室，精装修，满五年唯一，无遮挡,中楼层(共20层),False,True,简装,True,46.7
7,紫竹桥,94349,车道沟10号院 ,360,1992,塔楼,768,1,3,东南,满五年 全明格局 高楼层 采光好 视野好,高楼层(共18层),False,True,其他,False,81.4
18,安宁庄,77937,毛纺住宅北小区 ,360,1993,板楼,349,1,1,南 北,满五年唯一商品房，精装修，一层有小院，看房方便，,底层(共6层),False,True,精装,False,44.78
18,田村,55492,绿谷雅园 ,360,2004,板楼,435,1,1,南 北,满五唯一，西四环南北通透78.39平一居室,中楼层(共5层),False,True,简装,False,78.39
24,紫竹桥,91989,车道沟南里 ,360,1992,板楼,496,1,2,东南,满五唯一 小区环境好 配套成熟 楼层好 诚心卖,低楼层(共6层),False,True,简装,True,53.92
15,小西天,88808,今典花园 ,360,1999,塔楼,630,1,2,西南,今典花园 精装婚房 西南两居 无遮挡,低楼层(共19层),True,False,精装,False,70.94
45,清河,58431,清缘里中区 ,360,1999,板塔结合,490,1,2,东南,电梯房，精装，自住，满五年唯一，看房随时，签约随时,高楼层(共13层),False,True,精装,True,83.86
26,甘家口,88838,甘家口小区 ,360,1994,板塔结合,382,1,1,西 南,满五年唯一甘家口精装修西南有电梯一居室有客厅,低楼层(共12层),False,True,精装,True,43
49,定慧寺,67174,定慧福里 ,360,2010,板塔结合,442,1,1,西,定慧福里北区 2010年商品房社区 带电梯 户型方正！,低楼层(共18层),False,True,精装,True,65.8
17,定慧寺,124270,西三环北路105号院 ,360,1993,塔楼,850,1,2,南,房子满五唯一，不临街，高层采光视野无遮挡,高楼层(共16层),False,True,精装,False,68.4
5,牡丹园,74703,中鑫嘉园 ,360,2004,塔楼,590,1,1,西,高楼层，视野开阔，满五年唯一商品房，看房方便！,高楼层(共26层),False,True,简装,True,78.98
16,苏州桥,97223,稻香园西里 ,360,1990,塔楼,700,1,3,东 西南 西北,满五唯一 有电梯 三居 中间层 产权清晰 随时签约简装,中楼层(共18层),False,True,简装,True,72
27,西三旗,60722,沁春家园 ,360,2002,板楼,525,1,2,南 北,沁春家园 板楼中低楼层 满五唯一 海淀产权商品房,低楼层(共6层),False,True,简装,True,86.46
5,海淀北部新区,51835,环山村 ,360,,N/A,325,1,2,南 北,满五年唯一，南北通透，低楼层，上下楼方便,低楼层(共6层) ,False,True,简装,False,62.7
28,六里桥,81164,铁路小区 ,360,1998,板楼,505,1,2,南 北,铁路小区优质南北通透2居，精装修,高楼层(共6层),False,True,精装,False,62.22
15,小西天,100176,今典花园 ,360,1999,塔楼,685,1,2,南,西直门 今典花园全南两居室 精装修 满五年唯一 高层,中楼层(共26层),False,True,精装,False,68.38
11,紫竹桥,79851,北洼西里 ,360,1987,板塔结合,428,1,1,东南,北洼西里 一居室 精装修拎包入住东南向,高楼层(共17层),False,True,精装,True,53.6
20,紫竹桥,63051,紫竹院路62号院 ,360,2001,塔楼,680,1,2,东 西,西三环里，紫竹桥东南角，电梯房两居室,低楼层(共26层),False,True,简装,False,107.85
26,西直门,99197,交大嘉园 ,360,2003,塔楼,605,1,2,北 东,西直门 交大嘉园 满五年唯一 商品房 可贷款 小区好,高楼层(共19层),False,True,精装,False,60.99
20,学院路,83766,富润家园 ,360,2003,板塔结合,776,1,2,东,六道口精装两居室 满五唯一 不临街 正对小区花园,低楼层(共27层),False,True,精装,False,92.64
15,公主坟,99387,翠微嘉园 ,9,2002,板塔结合,778,1,2,东北 西北,翠微嘉园 优质两居室，楼龄新环境好,中楼层(共20层),False,True,精装,False,78.28
5,紫竹桥,85119,北洼路32号院 ,9,1994,塔楼,930,1,3,东,满五年不唯一  税费低   精装修 诚心出售,中楼层(共14层),False,True,精装,True,109.26
9,双榆树,102162,知春里 ,9,1989,塔楼,520,1,1,东南,海淀黄庄地铁口 东南向一居室 不临街 中间层带电梯,中楼层(共18层),False,True,精装,True,50.9
31,甘家口,83234,花园村小区 ,9,1975,板楼,556,1,2,南 北,花园桥 三环内 核工业部央产 诚售,中楼层(共5层),False,True,简装,False,66.8
11,西三旗,76204,育新花园 ,9,1996,塔楼,570,0,3,南,育新花园 满五年唯一央产房 三个卧室朝南 带电梯,中楼层(共22层),False,True,简装,False,74.8
33,海淀其它,37655,前沙涧路7号院 ,8,2009,板楼,228,1,1,东,海淀北部新区苏家坨镇前沙涧路7号院一居室,低楼层(共6层),False,True,精装,False,60.55
4,牡丹园,71327,花园公寓 ,6,2007,塔楼,400,0,1,东,花园公寓 1室0厅 400万,中楼层(共15层),False,True,简装,True,56.08
